iter	RMSE
0	317.6295079
1	304.4943721
2	292.8074956
3	282.5794651
4	272.8642005
5	264.5385812
6	257.1550954
7	249.9828562
8	243.1893911
9	237.6456192
10	231.8146166
11	227.6387627
12	222.7498397
13	218.5008842
14	215.5756386
15	212.3640706
16	209.0490658
17	206.3902314
18	203.6511429
19	201.7919602
20	198.8391231
21	196.9156771
22	195.1503051
23	192.6225966
24	190.5180723
25	189.0514241
26	187.2797443
27	186.0824882
28	184.9904878
29	183.5344172
30	182.7238676
31	181.8737648
32	181.2247175
33	180.531513
34	179.0913191
35	178.3999402
36	177.8571268
37	176.6030318
38	176.0575672
39	175.0066922
40	173.8269844
41	173.2811702
42	172.5246338
43	171.6604208
44	170.9903166
45	169.9934846
46	169.0651724
47	168.6526007
48	168.2124498
49	167.7858857
50	167.3834529
51	166.6813472
52	166.096323
53	165.4117248
54	164.9489374
55	164.7435598
56	164.406914
57	164.1807701
58	163.8910508
59	163.608177
60	163.423449
61	163.0733111
62	162.6650228
63	162.5048623
64	162.2517597
65	161.8499224
66	161.2720178
67	161.0948957
68	160.9236271
69	160.7977797
70	160.4407388
71	160.2587672
72	159.8765449
73	159.2460374
74	158.8784986
75	158.6950264
76	158.6040263
77	158.5107241
78	158.4128595
79	158.2151535
80	158.0985683
81	157.9668747
82	157.7433875
83	157.672695
84	157.4789079
85	157.3889378
86	157.3095735
87	157.2439265
88	157.1054295
89	156.6989912
90	156.4961991
91	156.2204843
92	156.103317
93	155.7446932
94	155.6728656
95	155.5458085
96	155.3518958
97	155.2001783
98	155.1352161
99	154.9190557
100	154.7291978
101	154.5274489
102	154.2877956
103	154.1118057
104	154.019583
105	153.8776293
106	153.8045949
107	153.6928617
108	153.5913758
109	153.5011209
110	153.3770253
111	153.2690653
112	153.119414
113	153.0015973
114	152.8199978
115	152.7899354
116	152.5429855
117	152.4369104
118	152.3011562
119	152.2087845
120	152.1467376
121	152.0841181
122	152.0290592
123	151.8401698
124	151.7880224
125	151.6730182
126	151.5826471
127	151.4746909
128	151.3073115
129	151.2554238
130	151.1184582
131	151.0190432
132	150.8407569
133	150.7627395
134	150.6643835
135	150.5437794
136	150.4661493
137	150.3905892
138	150.3396085
139	150.2330312
140	150.1608178
141	150.1136673
142	150.0568326
143	150.0272533
144	149.9738362
145	149.8237492
146	149.7620221
147	149.6828788
148	149.6206997
149	149.5305995
150	149.4511516
151	149.3461452
152	149.2887446
153	149.2455101
154	149.1487353
155	149.067932
156	149.0158945
157	148.9629605
158	148.9164984
159	148.8276323
160	148.7555331
161	148.6879203
162	148.6143747
163	148.5006664
164	148.4378521
165	148.3789864
166	148.3327707
167	148.2761917
168	148.2252834
169	148.1546416
170	148.1067341
171	148.0686601
172	147.9710202
173	147.922483
174	147.8825349
175	147.8197327
176	147.7592106
177	147.7119661
178	147.6789218
179	147.643799
180	147.5984945
181	147.5053736
182	147.4451344
183	147.4000697
184	147.3423561
185	147.2791242
186	147.2353251
187	147.1991355
188	147.1592693
189	147.1110074
190	147.0602063
191	146.9597147
192	146.9133501
193	146.8377516
194	146.7801357
195	146.7277576
196	146.6862704
197	146.6641093
198	146.6253531
199	146.5912277
200	146.559375
201	146.5088401
202	146.4343138
203	146.3790451
204	146.3341081
205	146.290462
206	146.241077
207	146.2173282
208	146.185846
209	146.1533074
210	146.1032493
211	146.0704807
212	146.0321543
213	145.9866297
214	145.9295436
215	145.883903
216	145.852089
217	145.8163267
218	145.7833095
219	145.7515644
220	145.6975339
221	145.6690103
222	145.6376088
223	145.5963142
224	145.5653555
225	145.5432468
226	145.4870523
227	145.4443593
228	145.4072307
229	145.3796537
230	145.3416549
231	145.2962002
232	145.2551392
233	145.2136321
234	145.1943433
235	145.1539582
236	145.1296181
237	145.100072
238	145.0648664
239	145.0314059
240	145.0001505
241	144.9719222
242	144.9440767
243	144.907104
244	144.8722399
245	144.8233656
246	144.7780246
247	144.7536155
248	144.7274915
249	144.6945871
250	144.6723655
251	144.6233307
252	144.6014882
253	144.5703999
254	144.5113435
255	144.4312402
256	144.3618514
257	144.3288957
258	144.2994605
259	144.2767198
260	144.2341132
261	144.2076344
262	144.1696501
263	144.1305807
264	144.1004032
265	144.0748609
266	144.0483591
267	144.0072165
268	143.9931813
269	143.9572982
270	143.932388
271	143.8932213
272	143.867874
273	143.8337835
274	143.7936766
275	143.7620561
276	143.6895649
277	143.649946
278	143.6291081
279	143.5932843
280	143.5257199
281	143.4659389
282	143.4329584
283	143.4003013
284	143.3751975
285	143.3446639
286	143.3136827
287	143.2721946
288	143.2543721
289	143.2268327
290	143.2011903
291	143.1712595
292	143.1491645
293	143.1113705
294	143.0823889
295	143.0246609
296	142.9861439
297	142.9441451
298	142.9101881
299	142.8815045
300	142.8649906
301	142.8370584
302	142.7608961
303	142.6949218
304	142.6663327
305	142.6233097
306	142.6020533
307	142.5743502
308	142.5271626
309	142.5052474
310	142.4768371
311	142.458105
