iter	Passed	Remaining
0	6	2112
1	13	2071
2	19	2023
3	24	1912
4	29	1819
5	34	1760
6	38	1682
7	43	1635
8	47	1611
9	52	1590
10	57	1560
11	61	1533
12	66	1528
13	70	1504
14	75	1502
15	81	1512
16	86	1497
17	90	1482
18	95	1470
19	100	1465
20	105	1456
21	109	1437
22	114	1438
23	118	1426
24	123	1413
25	127	1407
26	132	1398
27	137	1394
28	142	1385
29	146	1379
30	150	1368
31	154	1355
32	160	1355
33	164	1348
34	169	1340
35	173	1330
36	177	1322
37	182	1313
38	186	1302
39	191	1299
40	195	1290
41	199	1282
42	203	1275
43	208	1271
44	212	1261
45	216	1252
46	220	1244
47	224	1237
48	228	1228
49	232	1220
50	237	1216
51	241	1209
52	245	1201
53	249	1193
54	254	1190
55	259	1184
56	263	1177
57	267	1173
58	273	1172
59	277	1166
60	282	1161
61	287	1160
62	291	1153
63	296	1147
64	300	1142
65	305	1138
66	309	1132
67	313	1126
68	318	1122
69	323	1117
70	327	1110
71	331	1104
72	335	1099
73	340	1094
74	344	1088
75	349	1086
76	353	1079
77	357	1071
78	361	1065
79	366	1063
80	371	1059
81	375	1054
82	384	1061
83	390	1060
84	396	1059
85	401	1054
86	405	1048
87	409	1043
88	414	1039
89	420	1036
90	424	1029
91	428	1025
92	433	1020
93	437	1015
94	442	1010
95	446	1004
96	450	997
97	453	991
98	458	986
99	462	980
100	466	973
101	469	967
102	475	964
103	479	959
104	484	954
105	488	948
106	492	944
107	496	937
108	500	931
109	504	927
110	509	921
111	512	915
112	516	910
113	521	905
114	525	900
115	529	894
116	532	888
117	537	884
118	541	878
119	545	872
120	549	867
121	554	863
122	558	857
123	561	851
124	565	846
125	570	842
126	574	837
127	579	832
128	583	827
129	587	822
130	591	816
131	595	811
132	599	807
133	603	801
134	607	796
135	611	791
136	616	787
137	620	782
138	625	778
139	629	773
140	634	769
141	638	764
142	643	760
143	649	757
144	654	753
145	658	749
146	664	745
147	668	741
148	672	736
149	677	731
150	682	727
151	686	722
152	690	717
153	695	713
154	699	708
155	703	703
156	710	701
157	715	697
158	721	694
159	727	690
160	732	686
161	736	682
162	741	678
163	746	673
164	750	669
165	755	664
166	761	661
167	766	657
168	771	652
169	776	648
170	780	643
171	784	638
172	790	635
173	795	631
174	799	626
175	804	621
176	809	617
177	813	612
178	818	608
179	823	603
180	827	599
181	832	594
182	838	590
183	842	585
184	846	580
185	850	575
186	855	571
187	861	568
188	866	564
189	871	559
190	876	555
191	880	550
192	885	545
193	889	541
194	893	536
195	897	531
196	902	526
197	906	521
198	910	517
199	916	513
200	920	508
201	925	503
202	929	499
203	934	494
204	938	489
205	942	485
206	949	481
207	954	477
208	985	485
209	1001	486
210	1012	484
211	1017	480
212	1022	475
213	1028	471
214	1035	467
215	1041	462
216	1047	458
217	1053	454
218	1058	449
219	1062	444
220	1067	439
221	1071	434
222	1076	429
223	1080	424
224	1084	419
225	1089	414
226	1093	409
227	1097	404
228	1101	399
229	1107	394
230	1112	390
231	1116	385
232	1121	380
233	1127	375
234	1131	370
235	1135	365
236	1141	361
237	1146	356
238	1151	351
239	1156	347
240	1160	341
241	1165	337
242	1169	332
243	1173	327
244	1177	321
245	1180	316
246	1186	312
247	1191	307
248	1195	302
249	1199	297
250	1204	292
251	1209	287
252	1213	282
253	1220	278
254	1224	273
255	1228	268
256	1233	263
257	1237	258
258	1240	253
259	1245	249
260	1250	244
261	1254	239
262	1258	234
263	1263	229
264	1267	224
265	1271	219
266	1275	214
267	1279	210
268	1283	205
269	1287	200
270	1291	195
271	1296	190
272	1300	185
273	1304	180
274	1308	176
275	1312	171
276	1316	166
277	1320	161
278	1324	156
279	1329	151
280	1333	147
281	1337	142
282	1341	137
283	1346	132
284	1349	127
285	1353	123
286	1357	118
287	1362	113
288	1366	108
289	1369	103
290	1374	99
291	1378	94
292	1382	89
293	1385	84
294	1392	80
295	1396	75
296	1400	70
297	1405	66
298	1409	61
299	1412	56
300	1416	51
301	1421	47
302	1425	42
303	1429	37
304	1433	32
305	1438	28
306	1443	23
307	1449	18
308	1453	14
309	1458	9
310	1462	4
311	1466	0
